Date,Close,Open,High,Low,Volume
2022-10-17,153.4199981689453,154.9199981689453,155.3300018310547,153.32000732421875,4348000
2022-10-18,153.75,154.0800018310547,154.24000549316406,153.24000549316406,4528400
2022-10-19,151.69000244140625,152.08999633789062,152.49000549316406,151.5399932861328,8257100
2022-10-20,151.4499969482422,151.9199981689453,153.22999572753906,151.27000427246094,5019800
2022-10-21,154.14999389648438,151.97999572753906,154.30999755859375,151.8300018310547,6898400
2022-10-24,153.64999389648438,153.4499969482422,154.05999755859375,153.05999755859375,4673300
2022-10-25,154.0,153.9600067138672,154.7899932861328,153.8300018310547,3434100
2022-10-26,154.97999572753906,154.77999877929688,155.72999572753906,154.77999877929688,4448200
2022-10-27,154.74000549316406,154.7100067138672,155.08999633789062,154.22000122070312,3654900
2022-10-28,153.16000366210938,152.9600067138672,153.5399932861328,152.5,4645400
2022-10-31,151.91000366210938,152.16000366210938,152.8699951171875,151.88999938964844,6097800
2022-11-01,153.4600067138672,153.82000732421875,153.97999572753906,152.8699951171875,4603600
2022-11-02,152.38999938964844,154.16000366210938,155.4199981689453,152.25999450683594,7210900
2022-11-03,151.80999755859375,150.6999969482422,151.9600067138672,150.57000732421875,5378800
2022-11-04,156.47000122070312,154.9499969482422,156.60000610351562,154.66000366210938,7692000
2022-11-07,155.85000610351562,156.22000122070312,156.57000732421875,155.80999755859375,4425700
2022-11-08,159.4499969482422,155.99000549316406,159.8699951171875,155.97999572753906,11299600
2022-11-09,158.64999389648438,159.36000061035156,160.35000610351562,158.4499969482422,6040600
2022-11-10,163.47999572753906,162.00999450683594,163.50999450683594,161.66000366210938,9939900
2022-11-11,164.55999755859375,163.91000366210938,164.5800018310547,163.4199981689453,4622400
2022-11-14,164.9199981689453,164.1999969482422,165.24000549316406,164.14999389648438,6187600
2022-11-15,165.5,165.27000427246094,166.22999572753906,164.55999755859375,9903500
2022-11-16,165.1199951171875,165.41000366210938,165.7100067138672,164.8300018310547,3645800
2022-11-17,163.9199981689453,163.7899932861328,164.11000061035156,163.39999389648438,4574400
2022-11-18,162.7899932861328,163.3800048828125,163.69000244140625,162.67999267578125,4321100
2022-11-21,161.8800048828125,162.44000244140625,162.5,161.27999877929688,4766500
2022-11-22,162.07000732421875,162.3000030517578,162.60000610351562,161.72000122070312,3203800
2022-11-23,163.0800018310547,161.69000244140625,163.24000549316406,161.55999755859375,4167000
2022-11-25,163.22000122070312,162.85000610351562,163.42999267578125,162.75999450683594,1436500
2022-11-28,161.92999267578125,162.92999267578125,163.05999755859375,161.91000366210938,4052900
2022-11-29,162.72999572753906,162.6999969482422,163.6300048828125,162.60000610351562,2620600
2022-11-30,164.80999755859375,163.69000244140625,164.80999755859375,162.39999389648438,4874700
2022-12-01,167.83999633789062,167.47999572753906,167.9499969482422,166.97999572753906,8625800
2022-12-02,167.25999450683594,166.17999267578125,167.47000122070312,165.75999450683594,5185900
2022-12-05,164.38999938964844,166.5500030517578,166.72000122070312,164.32000732421875,5436200
2022-12-06,164.83999633789062,165.1999969482422,165.5399932861328,164.4499969482422,3597800
2022-12-07,166.3300018310547,165.47000122070312,166.63999938964844,165.32000732421875,4610700
2022-12-08,166.47000122070312,166.5800018310547,167.0500030517578,166.07000732421875,3217900
2022-12-09,167.05999755859375,167.25999450683594,168.08999633789062,166.60000610351562,5431300
2022-12-12,165.67999267578125,166.44000244140625,166.60000610351562,165.42999267578125,3504400
2022-12-13,168.50999450683594,169.2100067138672,169.7899932861328,168.02000427246094,6750200
2022-12-14,168.10000610351562,168.42999267578125,168.80999755859375,167.13999938964844,5643000
2022-12-15,165.35000610351562,165.72999572753906,166.2100067138672,165.10000610351562,8363000
2022-12-16,166.7899932861328,166.02000427246094,166.97999572753906,165.83999633789062,5372000
2022-12-19,166.32000732421875,166.7100067138672,167.11000061035156,165.99000549316406,3940500
2022-12-20,169.0800018310547,168.10000610351562,169.52999877929688,168.02999877929688,7803100
2022-12-21,168.8000030517578,169.0399932861328,169.7100067138672,168.67999267578125,3990100
2022-12-22,166.75999450683594,167.75999450683594,167.75999450683594,166.05999755859375,5672700
2022-12-23,167.25999450683594,166.8800048828125,167.8000030517578,166.66000366210938,2912300
2022-12-27,168.6699981689453,167.88999938964844,170.61000061035156,167.8000030517578,6885700
2022-12-28,167.91000366210938,168.0500030517578,168.33999633789062,167.10000610351562,3662500
2022-12-29,168.85000610351562,168.5399932861328,169.35000610351562,168.52000427246094,3345900
2022-12-30,169.63999938964844,169.25999450683594,169.89999389648438,168.8000030517578,2864500
2023-01-03,171.05999755859375,171.32000732421875,172.08999633789062,170.02000427246094,7992900
2023-01-04,172.6699981689453,172.86000061035156,173.08999633789062,171.85000610351562,7574600
2023-01-05,170.52000427246094,170.82000732421875,171.0,169.7899932861328,4692600
2023-01-06,173.7100067138672,171.75999450683594,173.9600067138672,171.22999572753906,7889000
2023-01-09,174.10000610351562,174.50999450683594,175.0399932861328,173.8800048828125,5134500
2023-01-10,174.74000549316406,174.61000061035156,174.97999572753906,174.05999755859375,4398400
2023-01-11,174.6199951171875,174.75999450683594,174.7899932861328,173.72000122070312,3374200
2023-01-12,176.63999938964844,176.00999450683594,176.7100067138672,174.8800048828125,6936900
2023-01-13,178.75999450683594,176.9600067138672,178.8300018310547,176.88999938964844,7468800
2023-01-17,177.58999633789062,178.2100067138672,178.24000549316406,177.08999633789062,6610800
2023-01-18,177.0800018310547,178.9199981689453,179.17999267578125,176.89999389648438,5384700
2023-01-19,179.88999938964844,178.3699951171875,180.02999877929688,178.08999633789062,6678700
2023-01-20,179.2899932861328,179.05999755859375,179.66000366210938,178.64999389648438,5754800
2023-01-23,179.6300048828125,178.35000610351562,179.69000244140625,177.77999877929688,5265500
2023-01-24,180.27999877929688,179.55999755859375,180.32000732421875,178.35000610351562,4604600
2023-01-25,181.11000061035156,179.35000610351562,181.22000122070312,179.2899932861328,6925300
2023-01-26,179.47000122070312,180.14999389648438,180.27000427246094,178.4600067138672,5860100
2023-01-27,179.22000122070312,179.27000427246094,179.72000122070312,178.25999450683594,6052700
2023-01-30,178.75999450683594,179.2899932861328,179.42999267578125,178.64999389648438,4210700
2023-01-31,179.41000366210938,178.82000732421875,179.6999969482422,178.5399932861328,5976900
2023-02-01,181.6699981689453,179.75,181.72999572753906,178.6300048828125,7996000
2023-02-02,177.89999389648438,181.0800018310547,181.11000061035156,177.74000549316406,8842400
2023-02-03,173.4600067138672,174.9199981689453,175.42999267578125,173.1199951171875,13674400
2023-02-06,173.82000732421875,174.11000061035156,174.4600067138672,173.27999877929688,8957000
2023-02-07,173.97999572753906,173.72000122070312,175.27000427246094,173.47000122070312,6794200
2023-02-08,174.41000366210938,174.94000244140625,174.99000549316406,173.8300018310547,4075600
2023-02-09,173.02999877929688,175.49000549316406,175.52000427246094,172.8699951171875,5361300
2023-02-10,173.36000061035156,173.6300048828125,173.67999267578125,172.6300048828125,2971100
2023-02-13,172.47999572753906,172.6999969482422,172.89999389648438,172.07000732421875,3970800
2023-02-14,172.61000061035156,171.97000122070312,173.50999450683594,171.41000366210938,5403100
2023-02-15,170.88999938964844,170.60000610351562,170.99000549316406,170.16000366210938,5423800
2023-02-16,170.75,170.33999633789062,171.60000610351562,169.9600067138672,4540400
2023-02-17,171.25999450683594,169.8699951171875,171.47000122070312,169.52000427246094,4809800
